City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
220,acajutla,13.5897967,-89.8297601,27.57,78,100,1.79,SV,2024-09-30
221,rutana,-3.9263608,29.990574,16.91,83,99,1.7,BI,2024-09-30
222,reserve,39.976147999999995,-95.56505944468024,30.45,38,0,1.79,US,2024-09-30
223,batesville,35.769799,-91.6409722,27.75,62,100,0.45,US,2024-09-30
224,fauske,67.23671525,15.784422075480048,0.35,96,100,5.15,NO,2024-09-30
225,krasnovishersk,60.4017837,57.0767045,9.19,86,99,4.07,RU,2024-09-30
226,edd,13.930794,41.690461,31.78,68,4,1.6,ER,2024-09-30
227,arraial do cabo,-22.9662839,-42.024427,24.99,69,0,10.8,BR,2024-09-30
228,tan-tan,28.437553,-11.098664,21.36,87,19,3.51,MA,2024-09-30
229,daru,-9.069901,143.210029,24.8,75,42,5.53,PG,2024-09-30
230,pacific grove,36.6211149,-121.917794,28.96,78,0,4.12,US,2024-09-30
231,lihue,21.9769622,-159.3687721,25.85,80,40,6.17,US,2024-09-30
232,vilyuysk,63.754082,121.626549,-0.87,95,100,3.2,RU,2024-09-30
233,pustoshka,56.3350632,29.3684565,6.4,63,100,4.38,RU,2024-09-30
234,eureka,40.7906871,-124.1673746,19.55,65,2,0.89,US,2024-09-30
235,banamba,13.5485166,-7.446532,29.13,59,65,3.07,ML,2024-09-30
236,xiongzhou,38.9786266,116.0727682,10.95,74,67,2.58,CN,2024-09-30
237,vila franca do campo,37.7171624,-25.4335352,24.23,94,48,4.74,PT,2024-09-30
238,shush,32.2003687,48.2489839,29.13,48,6,2.69,IR,2024-09-30
239,goniri,11.47449355,13.617426543622592,30.11,46,47,1.97,NG,2024-09-30
240,boke,51.730966,8.5618796,12.83,88,40,5.14,DE,2024-09-30
241,yaren,-0.5471014,166.9164002,28.47,74,20,6.28,NR,2024-09-30
242,golakganj,26.1047528,89.8252916,26.22,90,30,1.05,IN,2024-09-30
243,tucurui,-3.766334,-49.6663654,36.6,29,51,1.43,BR,2024-09-30
244,asbach,50.6671382,7.4245809,13.74,95,100,4.84,DE,2024-09-30
245,banska bystrica,48.7384028,19.1573494,5.94,76,1,1.5,SK,2024-09-30
246,awjilah,29.140278,21.2975,24.08,49,0,7.06,LY,2024-09-30
247,mil'kovo,54.690411,158.609879,3.89,82,100,2.11,RU,2024-09-30
248,kerikeri,-35.2272607,173.9491061,13.15,93,100,4.24,NZ,2024-09-30
249,at taj,24.2173161,23.2987377,26.91,36,0,4.03,LY,2024-09-30
250,la sarre,48.8000956,-79.2010223,17.92,51,0,3.38,CA,2024-09-30
251,moab,38.5738096,-109.5462146,33.6,17,0,4.05,US,2024-09-30
252,la'ie,21.6438449,-157.924442,27.25,83,38,1.79,US,2024-09-30
253,ar rumaythah,14.100535,44.168915,23.31,65,53,0.17,YE,2024-09-30
254,ha'il,27.5208716,41.6985992,31.05,15,0,3.09,SA,2024-09-30
255,fuvahmulah,-0.2948408,73.4240650441918,27.74,78,18,5.09,MV,2024-09-30
256,vernon,49.0917814,1.4886571,14.75,93,100,7.43,FR,2024-09-30
257,inyati,-18.2169194,32.2391107,19.84,26,6,0.67,ZW,2024-09-30
258,hemsby,52.6940106,1.6831984920127332,13.38,93,100,8.18,GB,2024-09-30
259,tilcara,-23.5767908,-65.393396,27.1,3,84,8.34,AR,2024-09-30
